Page,Title,Description,ModalText,RolesAndResponsibilities,Technologies,Thumbnail,LinkToProject
DataViz,Makeover Monday - Fashion,A remake of  a Subjective Look at a NTY Fashion Magazine Issue’s Fashion Stories,Article,,,/DataViz/fashion_graphic/fashion_radar_grey.png,
DataViz,Lodz Getto Interactive Prototype,Prototype of a potential interactive exhibit for the US Holocaust Memorial Museum,"The United States Holocaust Memorial Museum commissioned my cohort in during my Info Viz program to create prototype designs for an exhibit focused on the Lotz Ghetto. The Lotz Ghetto was one of the first ghettos to be established by the Nazis and contained an enormous population, which was almost entirely wiped out by the end of the war. Detailed records of the people who lived in the Ghetto have been found and it was from this database that we were tasked with creating compelling exhibit prototypes. The project was designed as an ""intensive""- we were given the database in advance but only given 2 days on site in the museum to come up with the prototype.<br>Our concept was an interactive exhibit that would create an emotional experience by illustrating how people were removed from the ghetto. Often, entire families were not removed but, instead, individual members- the old, sick or even the children- leaving gaping holes where they once were. This video contains text explanation of the history of the ghetto as well as illustrations. The people in the video were drawn as a child would draw them in order to invoke the terror a child might feel as people are removed from their family. ",Co-developer,Powerpoint,/DataViz/lotz_thumbnail.png,/DataViz/FracturedFamilies.mov
Wood,,,,,,/Wood/Mark_bookshelf_all_thumbnail.jpeg,
Wood,,,,,,/Wood/Tonyshelf_all_thumbnail.jpeg,
Wood,,,,,,/Wood/Colbytable_all_thumbnail.jpg,
Wood,,,,,,/Wood/redoakbar_thumbnail.jpeg,
Wood,,,,,,/Wood/Homebook3_thumbnail.jpeg,
Wood,,,,,,/Wood/DadSidetable_thumbnail.jpeg,
Wood,,,,,,/Wood/curvylegtabletop_thumbnail.jpeg,
Wood,,,,,,/Wood/suntable_and_bench_thumbnail.jpeg,
Wood,,,,,,/Wood/patbookcenter3_thumbnail.jpeg,
Wood,,,,,,/Wood/ODaybookcenter_thumbnail.jpeg,
Wood,,,,,,/Wood/bar_a_thumbnail.jpg,
MechEng,Esophogeal Temperature Monitor,Mechanism used to measure the temperature of the esophegus during heart ablation procedure.,"This project involved research and design of a fiber optic device that could be used to measure the core body temperature of a patient. We built the 1st and 2nd breadboard prototypes for ongoing testing, which included sourcing +/-0.001” tolerance machined components on a tight timeline and budget. I served as the program manager for this project.",Program Manager,,/MechEng/bodyTempProto3.png,
MechEng,Wound monitoring tool,Optical tool for monitoring healing of wounds.,"For this project we developed the electrical and mechanical systems of an imaging device used to visualize bacteria in chronic wounds such as diabetic foot ulcers. We created of engineering and looks-like models integrating client imaging technology and conducted ongoing testing. For this project I served as the Program Manager, managing all aspects of the project from resources to timeline and budget. ",Program Manager,,/MechEng/woundRendering_side_shrunk.png,
MechEng,Infusion set,Device for delivering medication via infusion.,"This project involved development of the electrical and mechanical systems of patient worn drug infusion device. We created of engineering models and looks like models integrating client pumping technology and conducted ongoing testing. I served as Program Coordinator for this project and was involved in prototype procurement, testing, and the creation and maintenance of the Design History File for FDA compliance. ",Program Coordinator,,/MechEng/infusionDrawn.png,
MechEng,Wearable patient monitor,Monitored patient vital signs via optical sensor through the skin. ,"For this project we were tasked with the industrial and engineering design of a wearable patient monitor along with reducing the piece part cost of the device 10 fold. We redesigned the durable for improved functional performance and integration with the disposable. I served as Program Manager on this program, managing all aspects of the program from budget to resources to timeline.",Program Manager,,/MechEng/patientMonitor_proto.png,
